Documento 0:
Índice	Término			TF	IDF	TF-IDF
17	citrus			0	1.00000	0.00000	
18	sage			0	1.00000	0.00000	
19	alongside		0	1.00000	0.00000	
20	brisk			0	0.69897	0.00000	
21	acidity			0	0.15490	0.00000	
22	this			1	0.22185	0.22185	
23	is			0	0.52288	0.00000	
24	ripe			0	1.00000	0.00000	
25	fruity			0	0.69897	0.00000	
26	a			3	0.15490	0.46471	
27	wine			1	0.30103	0.30103	
28	that			0	0.69897	0.00000	
29	smooth			0	1.00000	0.00000	
30	while			0	0.52288	0.00000	
31	still			0	1.00000	0.00000	
32	structured		0	1.00000	0.00000	
33	firm			0	0.69897	0.00000	
34	tannins			0	0.69897	0.00000	
35	are			0	1.00000	0.00000	
36	filled			0	1.00000	0.00000	
37	out			0	1.00000	0.00000	
38	with			1	0.04576	0.04576	
39	juicy			0	1.00000	0.00000	
40	red			0	0.69897	0.00000	
41	berry			0	0.69897	0.00000	
42	fruits			0	0.69897	0.00000	
43	freshened		0	1.00000	0.00000	
44	it's			1	0.22185	0.22185	
45	already			0	1.00000	0.00000	
46	drinkable		0	1.00000	0.00000	
47	although		0	1.00000	0.00000	
48	it			1	0.69897	0.69897	
49	will			0	1.00000	0.00000	
50	certainly		0	1.00000	0.00000	
51	be			0	1.00000	0.00000	
52	better			0	1.00000	0.00000	
53	from			1	0.69897	0.69897	
54	2016			0	1.00000	0.00000	
55	tart			0	1.00000	0.00000	
56	snappy			0	1.00000	0.00000	
57	flavors			0	0.52288	0.00000	
58	of			1	0.15490	0.15490	
59	lime			0	1.00000	0.00000	
60	flesh			0	1.00000	0.00000	
61	rind			0	0.69897	0.00000	
62	dominate		0	1.00000	0.00000	
63	some			0	1.00000	0.00000	
64	green			0	0.69897	0.00000	
65	pineapple		0	0.69897	0.00000	
66	pokes			0	1.00000	0.00000	
67	through			0	1.00000	0.00000	
68	crisp			0	0.69897	0.00000	
69	underscoring		0	1.00000	0.00000	
70	was			0	1.00000	0.00000	
71	all			0	1.00000	0.00000	
72	stainless-steel		0	1.00000	0.00000	
73	fermented		0	1.00000	0.00000	
74	lemon			0	1.00000	0.00000	
75	pith			0	1.00000	0.00000	
76	orange			0	1.00000	0.00000	
77	blossom			0	1.00000	0.00000	
78	start			0	1.00000	0.00000	
79	off			0	0.69897	0.00000	
80	bit			0	1.00000	0.00000	
81	more			0	1.00000	0.00000	
82	opulent			0	1.00000	0.00000	
83	notes			0	0.69897	0.00000	
84	honey-drizzled		0	1.00000	0.00000	
85	guava			0	1.00000	0.00000	
86	mango			0	1.00000	0.00000	
87	giving			0	1.00000	0.00000	
88	way			0	1.00000	0.00000	
89	to			1	0.52288	0.52288	
90	slightly		0	1.00000	0.00000	
91	astringent		0	1.00000	0.00000	
92	semidry			0	1.00000	0.00000	
93	finish			0	0.69897	0.00000	
94	much			1	0.69897	0.69897	
95	like			1	1.00000	1.00000	
96	regular			1	1.00000	1.00000	
97	bottling		1	1.00000	1.00000	
98	2012			1	1.00000	1.00000	
99	comes			1	1.00000	1.00000	
100	across			1	1.00000	1.00000	
101	as			2	1.00000	2.00000	
102	rather			1	1.00000	1.00000	
103	rough			1	1.00000	1.00000	
104	tannic			1	1.00000	1.00000	
105	rustic			1	1.00000	1.00000	
106	earthy			1	1.00000	1.00000	
107	herbal			1	0.69897	0.69897	
108	characteristics		1	1.00000	1.00000	
109	nonetheless		1	1.00000	1.00000	
110	if			1	1.00000	1.00000	
111	you			1	1.00000	1.00000	
112	think			1	1.00000	1.00000	
113	pleasantly		1	1.00000	1.00000	
114	unfussy			1	1.00000	1.00000	
115	country			1	1.00000	1.00000	
116	good			1	1.00000	1.00000	
117	companion		1	1.00000	1.00000	
118	hearty			1	1.00000	1.00000	
119	winter			1	1.00000	1.00000	
120	stew			1	1.00000	1.00000	
121	blackberry		0	1.00000	0.00000	
122	raspberry		0	1.00000	0.00000	
123	show			0	1.00000	0.00000	
124	typical			0	1.00000	0.00000	
125	navarran		0	1.00000	0.00000	
126	whiff			0	1.00000	0.00000	
127	herbs			0	1.00000	0.00000	
128	in			0	0.52288	0.00000	
129	case			0	1.00000	0.00000	
130	horseradish		0	1.00000	0.00000	
131	mouth			0	1.00000	0.00000	
132	fairly			0	1.00000	0.00000	
133	full			0	1.00000	0.00000	
134	bodied			0	1.00000	0.00000	
135	tomatoey		0	1.00000	0.00000	
136	spicy			0	1.00000	0.00000	
137	complement		0	1.00000	0.00000	
138	dark			0	1.00000	0.00000	
139	plum			0	1.00000	0.00000	
140	fresh			0	0.39794	0.00000	
141	but			0	1.00000	0.00000	
142	grabby			0	1.00000	0.00000	
143	here's			0	1.00000	0.00000	
144	bright			0	1.00000	0.00000	
145	informal		0	1.00000	0.00000	
146	opens			0	1.00000	0.00000	
147	candied			0	1.00000	0.00000	
148	white			0	1.00000	0.00000	
149	pepper			0	1.00000	0.00000	
150	savory			0	0.69897	0.00000	
151	carry			0	1.00000	0.00000	
152	over			0	1.00000	0.00000	
153	balanced		0	0.52288	0.00000	
154	soft			0	1.00000	0.00000	
155	dry			0	0.69897	0.00000	
156	restrained		0	1.00000	0.00000	
157	offers			0	1.00000	0.00000	
158	spice			0	0.69897	0.00000	
159	profusion		0	1.00000	0.00000	
160	texture			0	0.69897	0.00000	
161	very			0	1.00000	0.00000	
162	for			0	1.00000	0.00000	
163	food			0	1.00000	0.00000	
164	thyme			0	1.00000	0.00000	
165	accent			0	1.00000	0.00000	
166	sunnier			0	1.00000	0.00000	
167	preserved		0	1.00000	0.00000	
168	peach			0	1.00000	0.00000	
169	off-dry			0	1.00000	0.00000	
170	an			0	1.00000	0.00000	
171	elegant			0	1.00000	0.00000	
172	sprightly		0	1.00000	0.00000	
173	footprint		0	1.00000	0.00000	
174	has			0	1.00000	0.00000	
175	great			0	1.00000	0.00000	
176	depth			0	1.00000	0.00000	
177	flavor			0	1.00000	0.00000	
178	its			0	1.00000	0.00000	
179	pear			0	1.00000	0.00000	
180	touch			0	1.00000	0.00000	
181	drink			0	1.00000	0.00000	
182	now			0	1.00000	0.00000	


Documento 5:
Índice	Término			TF	IDF	TF-IDF
0	aromas			1	0.39794	0.39794	
1	include			0	1.00000	0.00000	
2	tropical		0	1.00000	0.00000	
3	fruit			1	0.69897	0.69897	
4	broom			0	1.00000	0.00000	
5	brimstone		0	1.00000	0.00000	
6	and			2	0.00000	0.00000	
7	dried			0	0.69897	0.00000	
8	herb			0	0.69897	0.00000	
9	the			2	0.22185	0.44370	
10	palate			0	0.52288	0.00000	
11	isn't			0	1.00000	0.00000	
12	overly			0	1.00000	0.00000	
13	expressive		0	1.00000	0.00000	
14	offering		0	1.00000	0.00000	
15	unripened		0	1.00000	0.00000	
16	apple			0	0.69897	0.00000	
17	citrus			0	1.00000	0.00000	
18	sage			0	1.00000	0.00000	
19	alongside		0	1.00000	0.00000	
20	brisk			0	0.69897	0.00000	
21	acidity			1	0.15490	0.15490	
22	this			2	0.22185	0.44370	
23	is			2	0.52288	1.04576	
24	ripe			0	1.00000	0.00000	
25	fruity			0	0.69897	0.00000	
26	a			1	0.15490	0.15490	
27	wine			0	0.30103	0.00000	
28	that			0	0.69897	0.00000	
29	smooth			0	1.00000	0.00000	
30	while			1	0.52288	0.52288	
31	still			0	1.00000	0.00000	
32	structured		0	1.00000	0.00000	
33	firm			0	0.69897	0.00000	
34	tannins			0	0.69897	0.00000	
35	are			0	1.00000	0.00000	
36	filled			0	1.00000	0.00000	
37	out			0	1.00000	0.00000	
38	with			1	0.04576	0.04576	
39	juicy			0	1.00000	0.00000	
40	red			0	0.69897	0.00000	
41	berry			0	0.69897	0.00000	
42	fruits			0	0.69897	0.00000	
43	freshened		0	1.00000	0.00000	
44	it's			0	0.22185	0.00000	
45	already			0	1.00000	0.00000	
46	drinkable		0	1.00000	0.00000	
47	although		0	1.00000	0.00000	
48	it			0	0.69897	0.00000	
49	will			0	1.00000	0.00000	
50	certainly		0	1.00000	0.00000	
51	be			0	1.00000	0.00000	
52	better			0	1.00000	0.00000	
53	from			0	0.69897	0.00000	
54	2016			0	1.00000	0.00000	
55	tart			0	1.00000	0.00000	
56	snappy			0	1.00000	0.00000	
57	flavors			1	0.52288	0.52288	
58	of			1	0.15490	0.15490	
59	lime			0	1.00000	0.00000	
60	flesh			0	1.00000	0.00000	
61	rind			0	0.69897	0.00000	
62	dominate		0	1.00000	0.00000	
63	some			0	1.00000	0.00000	
64	green			1	0.69897	0.69897	
65	pineapple		0	0.69897	0.00000	
66	pokes			0	1.00000	0.00000	
67	through			0	1.00000	0.00000	
68	crisp			0	0.69897	0.00000	
69	underscoring		0	1.00000	0.00000	
70	was			0	1.00000	0.00000	
71	all			0	1.00000	0.00000	
72	stainless-steel		0	1.00000	0.00000	
73	fermented		0	1.00000	0.00000	
74	lemon			0	1.00000	0.00000	
75	pith			0	1.00000	0.00000	
76	orange			0	1.00000	0.00000	
77	blossom			0	1.00000	0.00000	
78	start			0	1.00000	0.00000	
79	off			0	0.69897	0.00000	
80	bit			0	1.00000	0.00000	
81	more			0	1.00000	0.00000	
82	opulent			0	1.00000	0.00000	
83	notes			0	0.69897	0.00000	
84	honey-drizzled		0	1.00000	0.00000	
85	guava			0	1.00000	0.00000	
86	mango			0	1.00000	0.00000	
87	giving			0	1.00000	0.00000	
88	way			0	1.00000	0.00000	
89	to			0	0.52288	0.00000	
90	slightly		0	1.00000	0.00000	
91	astringent		0	1.00000	0.00000	
92	semidry			0	1.00000	0.00000	
93	finish			1	0.69897	0.69897	
94	much			0	0.69897	0.00000	
95	like			0	1.00000	0.00000	
96	regular			0	1.00000	0.00000	
97	bottling		0	1.00000	0.00000	
98	2012			0	1.00000	0.00000	
99	comes			0	1.00000	0.00000	
100	across			0	1.00000	0.00000	
101	as			0	1.00000	0.00000	
102	rather			0	1.00000	0.00000	
103	rough			0	1.00000	0.00000	
104	tannic			0	1.00000	0.00000	
105	rustic			0	1.00000	0.00000	
106	earthy			0	1.00000	0.00000	
107	herbal			1	0.69897	0.69897	
108	characteristics		0	1.00000	0.00000	
109	nonetheless		0	1.00000	0.00000	
110	if			0	1.00000	0.00000	
111	you			0	1.00000	0.00000	
112	think			0	1.00000	0.00000	
113	pleasantly		0	1.00000	0.00000	
114	unfussy			0	1.00000	0.00000	
115	country			0	1.00000	0.00000	
116	good			0	1.00000	0.00000	
117	companion		0	1.00000	0.00000	
118	hearty			0	1.00000	0.00000	
119	winter			0	1.00000	0.00000	
120	stew			0	1.00000	0.00000	
121	blackberry		1	1.00000	1.00000	
122	raspberry		1	1.00000	1.00000	
123	show			1	1.00000	1.00000	
124	typical			1	1.00000	1.00000	
125	navarran		1	1.00000	1.00000	
126	whiff			1	1.00000	1.00000	
127	herbs			1	1.00000	1.00000	
128	in			2	0.52288	1.04576	
129	case			1	1.00000	1.00000	
130	horseradish		1	1.00000	1.00000	
131	mouth			1	1.00000	1.00000	
132	fairly			1	1.00000	1.00000	
133	full			1	1.00000	1.00000	
134	bodied			1	1.00000	1.00000	
135	tomatoey		1	1.00000	1.00000	
136	spicy			1	1.00000	1.00000	
137	complement		1	1.00000	1.00000	
138	dark			1	1.00000	1.00000	
139	plum			1	1.00000	1.00000	
140	fresh			1	0.39794	0.39794	
141	but			1	1.00000	1.00000	
142	grabby			1	1.00000	1.00000	
143	here's			0	1.00000	0.00000	
144	bright			0	1.00000	0.00000	
145	informal		0	1.00000	0.00000	
146	opens			0	1.00000	0.00000	
147	candied			0	1.00000	0.00000	
148	white			0	1.00000	0.00000	
149	pepper			0	1.00000	0.00000	
150	savory			0	0.69897	0.00000	
151	carry			0	1.00000	0.00000	
152	over			0	1.00000	0.00000	
153	balanced		0	0.52288	0.00000	
154	soft			0	1.00000	0.00000	
155	dry			0	0.69897	0.00000	
156	restrained		0	1.00000	0.00000	
157	offers			0	1.00000	0.00000	
158	spice			0	0.69897	0.00000	
159	profusion		0	1.00000	0.00000	
160	texture			0	0.69897	0.00000	
161	very			0	1.00000	0.00000	
162	for			0	1.00000	0.00000	
163	food			0	1.00000	0.00000	
164	thyme			0	1.00000	0.00000	
165	accent			0	1.00000	0.00000	
166	sunnier			0	1.00000	0.00000	
167	preserved		0	1.00000	0.00000	
168	peach			0	1.00000	0.00000	
169	off-dry			0	1.00000	0.00000	
170	an			0	1.00000	0.00000	
171	elegant			0	1.00000	0.00000	
172	sprightly		0	1.00000	0.00000	
173	footprint		0	1.00000	0.00000	
174	has			0	1.00000	0.00000	
175	great			0	1.00000	0.00000	
176	depth			0	1.00000	0.00000	
177	flavor			0	1.00000	0.00000	
178	its			0	1.00000	0.00000	
179	pear			0	1.00000	0.00000	
180	touch			0	1.00000	0.00000	
181	drink			0	1.00000	0.00000	
182	now			0	1.00000	0.00000	


Documento 6:
Índice	Término			TF	IDF	TF-IDF
0	aromas			1	0.39794	0.39794	
1	include			0	1.00000	0.00000	
2	tropical		0	1.00000	0.00000	
3	fruit			0	0.69897	0.00000	
4	broom			0	1.00000	0.00000	
5	brimstone		0	1.00000	0.00000	
6	and			2	0.00000	0.00000	
7	dried			0	0.69897	0.00000	
8	herb			1	0.69897	0.69897	
9	the			1	0.22185	0.22185	
10	palate			1	0.52288	0.52288	
11	isn't			0	1.00000	0.00000	
12	overly			0	1.00000	0.00000	
13	expressive		0	1.00000	0.00000	
14	offering		0	1.00000	0.00000	
15	unripened		0	1.00000	0.00000	
16	apple			0	0.69897	0.00000	
17	citrus			0	1.00000	0.00000	
18	sage			0	1.00000	0.00000	
19	alongside		0	1.00000	0.00000	
20	brisk			0	0.69897	0.00000	
21	acidity			1	0.15490	0.15490	
22	this			0	0.22185	0.00000	
23	is			0	0.52288	0.00000	
24	ripe			0	1.00000	0.00000	
25	fruity			0	0.69897	0.00000	
26	a			1	0.15490	0.15490	
27	wine			0	0.30103	0.00000	
28	that			2	0.69897	1.39794	
29	smooth			0	1.00000	0.00000	
30	while			0	0.52288	0.00000	
31	still			0	1.00000	0.00000	
32	structured		0	1.00000	0.00000	
33	firm			0	0.69897	0.00000	
34	tannins			1	0.69897	0.69897	
35	are			0	1.00000	0.00000	
36	filled			0	1.00000	0.00000	
37	out			0	1.00000	0.00000	
38	with			2	0.04576	0.09152	
39	juicy			0	1.00000	0.00000	
40	red			1	0.69897	0.69897	
41	berry			1	0.69897	0.69897	
42	fruits			0	0.69897	0.00000	
43	freshened		0	1.00000	0.00000	
44	it's			1	0.22185	0.22185	
45	already			0	1.00000	0.00000	
46	drinkable		0	1.00000	0.00000	
47	although		0	1.00000	0.00000	
48	it			0	0.69897	0.00000	
49	will			0	1.00000	0.00000	
50	certainly		0	1.00000	0.00000	
51	be			0	1.00000	0.00000	
52	better			0	1.00000	0.00000	
53	from			0	0.69897	0.00000	
54	2016			0	1.00000	0.00000	
55	tart			0	1.00000	0.00000	
56	snappy			0	1.00000	0.00000	
57	flavors			0	0.52288	0.00000	
58	of			1	0.15490	0.15490	
59	lime			0	1.00000	0.00000	
60	flesh			0	1.00000	0.00000	
61	rind			0	0.69897	0.00000	
62	dominate		0	1.00000	0.00000	
63	some			0	1.00000	0.00000	
64	green			0	0.69897	0.00000	
65	pineapple		0	0.69897	0.00000	
66	pokes			0	1.00000	0.00000	
67	through			0	1.00000	0.00000	
68	crisp			0	0.69897	0.00000	
69	underscoring		0	1.00000	0.00000	
70	was			0	1.00000	0.00000	
71	all			0	1.00000	0.00000	
72	stainless-steel		0	1.00000	0.00000	
73	fermented		0	1.00000	0.00000	
74	lemon			0	1.00000	0.00000	
75	pith			0	1.00000	0.00000	
76	orange			0	1.00000	0.00000	
77	blossom			0	1.00000	0.00000	
78	start			0	1.00000	0.00000	
79	off			0	0.69897	0.00000	
80	bit			0	1.00000	0.00000	
81	more			0	1.00000	0.00000	
82	opulent			0	1.00000	0.00000	
83	notes			0	0.69897	0.00000	
84	honey-drizzled		0	1.00000	0.00000	
85	guava			0	1.00000	0.00000	
86	mango			0	1.00000	0.00000	
87	giving			0	1.00000	0.00000	
88	way			0	1.00000	0.00000	
89	to			1	0.52288	0.52288	
90	slightly		0	1.00000	0.00000	
91	astringent		0	1.00000	0.00000	
92	semidry			0	1.00000	0.00000	
93	finish			0	0.69897	0.00000	
94	much			0	0.69897	0.00000	
95	like			0	1.00000	0.00000	
96	regular			0	1.00000	0.00000	
97	bottling		0	1.00000	0.00000	
98	2012			0	1.00000	0.00000	
99	comes			0	1.00000	0.00000	
100	across			0	1.00000	0.00000	
101	as			0	1.00000	0.00000	
102	rather			0	1.00000	0.00000	
103	rough			0	1.00000	0.00000	
104	tannic			0	1.00000	0.00000	
105	rustic			0	1.00000	0.00000	
106	earthy			0	1.00000	0.00000	
107	herbal			0	0.69897	0.00000	
108	characteristics		0	1.00000	0.00000	
109	nonetheless		0	1.00000	0.00000	
110	if			0	1.00000	0.00000	
111	you			0	1.00000	0.00000	
112	think			0	1.00000	0.00000	
113	pleasantly		0	1.00000	0.00000	
114	unfussy			0	1.00000	0.00000	
115	country			0	1.00000	0.00000	
116	good			0	1.00000	0.00000	
117	companion		0	1.00000	0.00000	
118	hearty			0	1.00000	0.00000	
119	winter			0	1.00000	0.00000	
120	stew			0	1.00000	0.00000	
121	blackberry		0	1.00000	0.00000	
122	raspberry		0	1.00000	0.00000	
123	show			0	1.00000	0.00000	
124	typical			0	1.00000	0.00000	
125	navarran		0	1.00000	0.00000	
126	whiff			0	1.00000	0.00000	
127	herbs			0	1.00000	0.00000	
128	in			0	0.52288	0.00000	
129	case			0	1.00000	0.00000	
130	horseradish		0	1.00000	0.00000	
131	mouth			0	1.00000	0.00000	
132	fairly			0	1.00000	0.00000	
133	full			0	1.00000	0.00000	
134	bodied			0	1.00000	0.00000	
135	tomatoey		0	1.00000	0.00000	
136	spicy			0	1.00000	0.00000	
137	complement		0	1.00000	0.00000	
138	dark			0	1.00000	0.00000	
139	plum			0	1.00000	0.00000	
140	fresh			1	0.39794	0.39794	
141	but			0	1.00000	0.00000	
142	grabby			0	1.00000	0.00000	
143	here's			1	1.00000	1.00000	
144	bright			1	1.00000	1.00000	
145	informal		1	1.00000	1.00000	
146	opens			1	1.00000	1.00000	
147	candied			1	1.00000	1.00000	
148	white			1	1.00000	1.00000	
149	pepper			1	1.00000	1.00000	
150	savory			1	0.69897	0.69897	
151	carry			1	1.00000	1.00000	
152	over			1	1.00000	1.00000	
153	balanced		1	0.52288	0.52288	
154	soft			1	1.00000	1.00000	
155	dry			0	0.69897	0.00000	
156	restrained		0	1.00000	0.00000	
157	offers			0	1.00000	0.00000	
158	spice			0	0.69897	0.00000	
159	profusion		0	1.00000	0.00000	
160	texture			0	0.69897	0.00000	
161	very			0	1.00000	0.00000	
162	for			0	1.00000	0.00000	
163	food			0	1.00000	0.00000	
164	thyme			0	1.00000	0.00000	
165	accent			0	1.00000	0.00000	
166	sunnier			0	1.00000	0.00000	
167	preserved		0	1.00000	0.00000	
168	peach			0	1.00000	0.00000	
169	off-dry			0	1.00000	0.00000	
170	an			0	1.00000	0.00000	
171	elegant			0	1.00000	0.00000	
172	sprightly		0	1.00000	0.00000	
173	footprint		0	1.00000	0.00000	
174	has			0	1.00000	0.00000	
175	great			0	1.00000	0.00000	
176	depth			0	1.00000	0.00000	
177	flavor			0	1.00000	0.00000	
178	its			0	1.00000	0.00000	
179	pear			0	1.00000	0.00000	
180	touch			0	1.00000	0.00000	
181	drink			0	1.00000	0.00000	
182	now			0	1.00000	0.00000	


Documento 7:
Índice	Término			TF	IDF	TF-IDF
0	aromas			0	0.39794	0.00000	
1	include			0	1.00000	0.00000	
2	tropical		0	1.00000	0.00000	
3	fruit			0	0.69897	0.00000	
4	broom			0	1.00000	0.00000	
5	brimstone		0	1.00000	0.00000	
6	and			2	0.00000	0.00000	
7	dried			0	0.69897	0.00000	
8	herb			0	0.69897	0.00000	
9	the			0	0.22185	0.00000	
10	palate			0	0.52288	0.00000	
11	isn't			0	1.00000	0.00000	
12	overly			0	1.00000	0.00000	
13	expressive		0	1.00000	0.00000	
14	offering		0	1.00000	0.00000	
15	unripened		0	1.00000	0.00000	
16	apple			0	0.69897	0.00000	
17	citrus			0	1.00000	0.00000	
18	sage			0	1.00000	0.00000	
19	alongside		0	1.00000	0.00000	
20	brisk			0	0.69897	0.00000	
21	acidity			1	0.15490	0.15490	
22	this			1	0.22185	0.22185	
23	is			0	0.52288	0.00000	
24	ripe			0	1.00000	0.00000	
25	fruity			0	0.69897	0.00000	
26	a			1	0.15490	0.15490	
27	wine			1	0.30103	0.30103	
28	that			0	0.69897	0.00000	
29	smooth			0	1.00000	0.00000	
30	while			0	0.52288	0.00000	
31	still			0	1.00000	0.00000	
32	structured		0	1.00000	0.00000	
33	firm			1	0.69897	0.69897	
34	tannins			0	0.69897	0.00000	
35	are			0	1.00000	0.00000	
36	filled			0	1.00000	0.00000	
37	out			0	1.00000	0.00000	
38	with			1	0.04576	0.04576	
39	juicy			0	1.00000	0.00000	
40	red			0	0.69897	0.00000	
41	berry			0	0.69897	0.00000	
42	fruits			0	0.69897	0.00000	
43	freshened		0	1.00000	0.00000	
44	it's			1	0.22185	0.22185	
45	already			0	1.00000	0.00000	
46	drinkable		0	1.00000	0.00000	
47	although		0	1.00000	0.00000	
48	it			0	0.69897	0.00000	
49	will			0	1.00000	0.00000	
50	certainly		0	1.00000	0.00000	
51	be			0	1.00000	0.00000	
52	better			0	1.00000	0.00000	
53	from			0	0.69897	0.00000	
54	2016			0	1.00000	0.00000	
55	tart			0	1.00000	0.00000	
56	snappy			0	1.00000	0.00000	
57	flavors			0	0.52288	0.00000	
58	of			0	0.15490	0.00000	
59	lime			0	1.00000	0.00000	
60	flesh			0	1.00000	0.00000	
61	rind			0	0.69897	0.00000	
62	dominate		0	1.00000	0.00000	
63	some			0	1.00000	0.00000	
64	green			0	0.69897	0.00000	
65	pineapple		0	0.69897	0.00000	
66	pokes			0	1.00000	0.00000	
67	through			0	1.00000	0.00000	
68	crisp			0	0.69897	0.00000	
69	underscoring		0	1.00000	0.00000	
70	was			0	1.00000	0.00000	
71	all			0	1.00000	0.00000	
72	stainless-steel		0	1.00000	0.00000	
73	fermented		0	1.00000	0.00000	
74	lemon			0	1.00000	0.00000	
75	pith			0	1.00000	0.00000	
76	orange			0	1.00000	0.00000	
77	blossom			0	1.00000	0.00000	
78	start			0	1.00000	0.00000	
79	off			0	0.69897	0.00000	
80	bit			0	1.00000	0.00000	
81	more			0	1.00000	0.00000	
82	opulent			0	1.00000	0.00000	
83	notes			0	0.69897	0.00000	
84	honey-drizzled		0	1.00000	0.00000	
85	guava			0	1.00000	0.00000	
86	mango			0	1.00000	0.00000	
87	giving			0	1.00000	0.00000	
88	way			0	1.00000	0.00000	
89	to			0	0.52288	0.00000	
90	slightly		0	1.00000	0.00000	
91	astringent		0	1.00000	0.00000	
92	semidry			0	1.00000	0.00000	
93	finish			0	0.69897	0.00000	
94	much			1	0.69897	0.69897	
95	like			0	1.00000	0.00000	
96	regular			0	1.00000	0.00000	
97	bottling		0	1.00000	0.00000	
98	2012			0	1.00000	0.00000	
99	comes			0	1.00000	0.00000	
100	across			0	1.00000	0.00000	
101	as			0	1.00000	0.00000	
102	rather			0	1.00000	0.00000	
103	rough			0	1.00000	0.00000	
104	tannic			0	1.00000	0.00000	
105	rustic			0	1.00000	0.00000	
106	earthy			0	1.00000	0.00000	
107	herbal			0	0.69897	0.00000	
108	characteristics		0	1.00000	0.00000	
109	nonetheless		0	1.00000	0.00000	
110	if			0	1.00000	0.00000	
111	you			0	1.00000	0.00000	
112	think			0	1.00000	0.00000	
113	pleasantly		0	1.00000	0.00000	
114	unfussy			0	1.00000	0.00000	
115	country			0	1.00000	0.00000	
116	good			0	1.00000	0.00000	
117	companion		0	1.00000	0.00000	
118	hearty			0	1.00000	0.00000	
119	winter			0	1.00000	0.00000	
120	stew			0	1.00000	0.00000	
121	blackberry		0	1.00000	0.00000	
122	raspberry		0	1.00000	0.00000	
123	show			0	1.00000	0.00000	
124	typical			0	1.00000	0.00000	
125	navarran		0	1.00000	0.00000	
126	whiff			0	1.00000	0.00000	
127	herbs			0	1.00000	0.00000	
128	in			1	0.52288	0.52288	
129	case			0	1.00000	0.00000	
130	horseradish		0	1.00000	0.00000	
131	mouth			0	1.00000	0.00000	
132	fairly			0	1.00000	0.00000	
133	full			0	1.00000	0.00000	
134	bodied			0	1.00000	0.00000	
135	tomatoey		0	1.00000	0.00000	
136	spicy			0	1.00000	0.00000	
137	complement		0	1.00000	0.00000	
138	dark			0	1.00000	0.00000	
139	plum			0	1.00000	0.00000	
140	fresh			0	0.39794	0.00000	
141	but			0	1.00000	0.00000	
142	grabby			0	1.00000	0.00000	
143	here's			0	1.00000	0.00000	
144	bright			0	1.00000	0.00000	
145	informal		0	1.00000	0.00000	
146	opens			0	1.00000	0.00000	
147	candied			0	1.00000	0.00000	
148	white			0	1.00000	0.00000	
149	pepper			0	1.00000	0.00000	
150	savory			0	0.69897	0.00000	
151	carry			0	1.00000	0.00000	
152	over			0	1.00000	0.00000	
153	balanced		1	0.52288	0.52288	
154	soft			0	1.00000	0.00000	
155	dry			1	0.69897	0.69897	
156	restrained		1	1.00000	1.00000	
157	offers			1	1.00000	1.00000	
158	spice			1	0.69897	0.69897	
159	profusion		1	1.00000	1.00000	
160	texture			1	0.69897	0.69897	
161	very			1	1.00000	1.00000	
162	for			1	1.00000	1.00000	
163	food			1	1.00000	1.00000	
164	thyme			0	1.00000	0.00000	
165	accent			0	1.00000	0.00000	
166	sunnier			0	1.00000	0.00000	
167	preserved		0	1.00000	0.00000	
168	peach			0	1.00000	0.00000	
169	off-dry			0	1.00000	0.00000	
170	an			0	1.00000	0.00000	
171	elegant			0	1.00000	0.00000	
172	sprightly		0	1.00000	0.00000	
173	footprint		0	1.00000	0.00000	
174	has			0	1.00000	0.00000	
175	great			0	1.00000	0.00000	
176	depth			0	1.00000	0.00000	
177	flavor			0	1.00000	0.00000	
178	its			0	1.00000	0.00000	
179	pear			0	1.00000	0.00000	
180	touch			0	1.00000	0.00000	
181	drink			0	1.00000	0.00000	
182	now			0	1.00000	0.00000	


Documento 8:
Índice	Término			TF	IDF	TF-IDF
0	aromas			0	0.39794	0.00000	
1	include			0	1.00000	0.00000	
2	tropical		0	1.00000	0.00000	
3	fruit			0	0.69897	0.00000	
4	broom			0	1.00000	0.00000	
5	brimstone		0	1.00000	0.00000	
6	and			1	0.00000	0.00000	
7	dried			1	0.69897	0.69897	
8	herb			0	0.69897	0.00000	
9	the			0	0.22185	0.00000	
10	palate			0	0.52288	0.00000	
11	isn't			0	1.00000	0.00000	
12	overly			0	1.00000	0.00000	
13	expressive		0	1.00000	0.00000	
14	offering		0	1.00000	0.00000	
15	unripened		0	1.00000	0.00000	
16	apple			0	0.69897	0.00000	
17	citrus			0	1.00000	0.00000	
18	sage			0	1.00000	0.00000	
19	alongside		0	1.00000	0.00000	
20	brisk			1	0.69897	0.69897	
21	acidity			0	0.15490	0.00000	
22	this			1	0.22185	0.22185	
23	is			0	0.52288	0.00000	
24	ripe			0	1.00000	0.00000	
25	fruity			1	0.69897	0.69897	
26	a			0	0.15490	0.00000	
27	wine			1	0.30103	0.30103	
28	that			0	0.69897	0.00000	
29	smooth			0	1.00000	0.00000	
30	while			0	0.52288	0.00000	
31	still			0	1.00000	0.00000	
32	structured		0	1.00000	0.00000	
33	firm			0	0.69897	0.00000	
34	tannins			0	0.69897	0.00000	
35	are			0	1.00000	0.00000	
36	filled			0	1.00000	0.00000	
37	out			0	1.00000	0.00000	
38	with			1	0.04576	0.04576	
39	juicy			0	1.00000	0.00000	
40	red			0	0.69897	0.00000	
41	berry			0	0.69897	0.00000	
42	fruits			0	0.69897	0.00000	
43	freshened		0	1.00000	0.00000	
44	it's			1	0.22185	0.22185	
